2026-05-14 20:13:58.837827, server01, DOWN
2026-05-14 20:14:01.596619, server02, DOWN 
2026-05-14 20:14:04.373423, printer01, DOWN 
2026-05-14 20:16:00.295695, server01, DOWN 
2026-05-14 20:16:03.017280, server02, DOWN 
2026-05-14 20:16:05.754408, printer01, DOWN 
2026-05-14 21:07:38.949416, server01, DOWN 
2026-05-14 21:07:41.682988, server02, DOWN 
2026-05-14 21:07:44.385677, printer01, DOWN 
2026-05-14 21:09:55.529396, server01, DOWN 
2026-05-14 21:09:58.272886, server02, DOWN 
2026-05-14 21:10:01.004918, printer01, DOWN 
2026-05-14 21:11:05.674110, server01, DOWN 
2026-05-14 21:11:08.410485, server02, DOWN 
2026-05-14 21:11:11.132759, printer01, DOWN 
2026-05-14 21:12:48.323413, server01, DOWN 
2026-05-14 21:12:51.052637, server02, DOWN 
2026-05-14 21:12:53.768542, printer01, DOWN 
2026-05-14 21:18:27.732931, server01, DOWN 
2026-05-14 21:18:30.463820, server02, DOWN 
2026-05-14 21:18:33.187948, printer01, DOWN 
2026-05-14 23:20:11.853011, server01, DOWN 
2026-05-14 23:20:14.566037, server02, DOWN 
2026-05-14 23:20:17.285259, printer01, DOWN 
2026-05-15 17:00:37.483316, server01, DOWN 
2026-05-15 17:00:40.729544, server02, DOWN 
2026-05-15 17:00:43.710048, printer01, DOWN 
2026-05-15 17:22:00.956306, server01, DOWN 
2026-05-15 17:22:04.054499, server02, DOWN 
2026-05-15 17:22:06.904788, printer01, DOWN 
2026-05-16 12:57:41.293970, server01, DOWN 
2026-05-16 12:57:44.056763, server02, DOWN 
2026-05-16 12:57:46.815146, printer01, DOWN 
